id;label;help
outputDir;Output directory;Path where your set will be created (exodos collection will be left untouched)
selectOutputDir;Select;Select your output directory
collectionDir;Collection folder;Path to your eXo collection
selectCollectionDir;Select;Select your eXo collection folder
selectionPath;Custom Selection; Path to your custom selection file
selectSelectionPath;Select;Select your selection file
loadCustom;Load;Load your custom selection from file
saveCustom;Save;Save your custom selection to file
conversionType;Conversion Type;Choose your conversion type
converterSettings;eXoDOS / eXoWin3x Conversion Settings; Settings for the Converter (DOS/Win3x only)
dosboxBasicSettings;Dosbox Basic Settings; Basic Settings for Dosbox
dosboxExpertSettings;Dosbox Expert Settings; Expert Settings for Dosbox
collectionVersion;Collection version;Your collection version (automatically set)
genreSubFolders;Use genre subfolders;Check to use genre subfolders for converted games
mapper;Mapper;Use controls mapping
useKeyb2Joypad;Use Keyb2Joypad;Use keyb2joypad mappings
mapSticks; Map Analog Sticks;Map controler analog sticks
longGameFolder;Long Folder Names;Allow long Folder Names ["Long Game Name (YEAR).pc" not "LongGame.pc"] (Batocera/RetroBat Only)#nWill not Rename Existing Folders!
downloadOnDemand;Download on demand;Activate direct download on demand (only for eXoDOS)
preExtractGames;Pre-extract Games;Legacy TDL option (unused in MyMenu-based MiSTeR packaging)
dosboxPureZip;Rezip for dosbox-pure;ReZip games for dosbox pure (Batocera, Recalbox and Retrobat only)
debugMode;Debug Mode; in debug mode, pause instruction will be added and [autoexec] part left commented in dosbox.cfg
expertMode;Expert mode;Allows overriding of generated configuration
mountPrefix;Mount prefix; Mount command prefix
fullresolutionCfg;fullResolution;DOSBox fullresolution parameter
rendererCfg;renderer;DOSBox renderer parameter
outputCfg;output;DOSBox output parameter
vsyncCfg;vsync;DOSBox vsync parameter (costly if activated)
filter;Filter games;Filter games
selectall;Select all;Add all games to your selection
unselectall;Unselect all;Remove all games from your selection
left;Deselect game;Remove game(s) from selection
right;Select game;Add game(s) to your selection
leftList;Collection Games;Full list of this Collection games
rightList;Your Selection;Games you have selected
verify;Verify;Check that your paths are okay
save;Save;Save your configuration to file
proceed;Proceed;Create your set
confirm;Confirm;Your output dir is {outputDir}#nIts content will be erased.#nIf you don't want to proceed, close this window, or click Cancel
misterPackSettings;MiSTer / Native Pack Options;Pack options for MiSTer ao486 and native PC targets (PicoMEM / PicoGUS / PicoIDE). Enabled when Conversion Type is MiSTer.
misterBootMode;DOS / boot mode;DOS version for the VHD: auto (MS-DOS 6.22, or MS-DOS 7.1 FAT32 if oversized) or any dosforge boot-mode
misterAudio;Audio;AUTOEXEC sound: sb (Sound Blaster) or gus (Gravis UltraSound / PicoGUS)
misterTarget;Hardware target;mister (imgtry CD) | picomem | picogus | picoide — drivers staged for all targets
misterLauncher;Launcher;mymenu (boot MyMenu) or none (single-game direct launch)
misterUseDosforge;Use dosforge;auto (use when available) | true (require) | false (legacy template VHD)
misterDosInstallProfile;DOS install profile;full (C:\\DOS tools + HIMEM for DOSLFN/MyMenu) or minimal
misterDosforgeBootAssets;dosassets path;Local path to dosassets root (folder containing msdos622/ and/or freedos/). Never auto-downloaded.
selectMisterDosforgeBootAssets;Browse;Select your dosassets directory
misterDosforgeExecutable;dosforge binary;Optional absolute path to dosforge executable (leave empty to use PATH)
selectMisterDosforgeExecutable;Browse;Select the dosforge executable
misterSaveBufferMiB;Save buffer (MiB);Extra free space reserved on the VHD for saves (default 64)
misterIncludeQemm;Include QEMM;Stage QEMM for high memory on DOS versions without UMB (e.g. MS-DOS 3.x)
misterGenerateReadmeAns;Generate README.ANS;Write per-game README.ANS files on the VHD
misterPreferGus;Prefer GUS presets;Apply eXo GUS setup presets when audio is GUS (auto-set when Audio=gus)
